Annotation/Divergence	AB425_SB139.M (1348270.0 total)	AB426_SB139.M (919032.0 total)	AB427_SB139.M (1076940.0 total)	AB428_SB139.M (1045155.0 total)	AB429_SB139.M (1152020.0 total)	AB430_SB139.M (1353472.0 total)	AB431_SB139.M (984314.0 total)	AB432_SB139.M (1095253.0 total)
Postn|A630052E07Rik|AI747096|OSF-2|Osf2|PLF|PN|-|3|3 C|protein-coding	2	2	10	5	2	6	9	7
Szrd1|1110022I03|D4Ertd22e|-|4 D3|4 73.38 cM|protein-coding	228	111	188	163	177	212	150	176
C330004P14Rik|-|-|10|10 A2|ncRNA	0	0	0	0	0	0	0	0
Ctdspl2|D2Ertd485e|-|2 E5|2 60.46 cM|protein-coding	9	4	3	6	7	8	7	8
Zfp874b|9630025I21Rik|Rslcan16|-|13|13 B3|protein-coding	5	0	0	1	4	4	1	3
Mfap1b|-|-|2|2 E5|protein-coding	1	0	0	2	1	0	0	3
Nkx2-1|AV026640|Nkx2.1|T/EBP|Titf1|Ttf-1|-|12 C1|12 24.42 cM|protein-coding	0	0	0	0	0	0	0	0
Inhbe|-|-|10 D3|10 74.5 cM|protein-coding	0	0	0	0	0	0	0	0
Dennd6a|Fam116a|-|14|14 A3|protein-coding	12	7	3	14	8	12	7	5
Fis1|2010003O14Rik|Ttc11|-|5|5 G2|protein-coding	709	428	617	547	561	697	555	556
1810026B05Rik|-|-|7|7 D1|ncRNA	6	8	8	6	7	2	8	5
Mycbp|5730488M09Rik|AW552132|AW742590|Amy-1|-|4|4 D2.2|protein-coding	66	47	54	68	62	62	59	51
Polr1e|53kDa|AU042259|D030019D19Rik|Paf53|Praf1|-|4|4 B1|protein-coding	11	4	5	6	12	7	9	12
Thpo|Mgdf|Ml|Mpllg|Tpo|-|16 B1|16 12.51 cM|protein-coding	1	0	0	0	0	1	0	0
Psma3|Lmpc8|-|12|12 C2|protein-coding	31	23	24	23	27	34	29	31
5031426D15Rik|-|-|2|2 A1|ncRNA	0	0	0	0	0	0	1	0
4933412E12Rik|-|-|10|10 D2|ncRNA	21	12	6	13	24	33	9	7
Slc6a14|1110007A17Rik|9030613J17Rik|ATB0plus|CATB0plus|-|X|X A2|protein-coding	0	0	0	0	0	0	0	0
Fbxo9|9030401P18Rik|AA986398|-|9|9 E1|protein-coding	49	47	51	38	42	75	46	69
F930015N05Rik|-|-|11|11 B3|ncRNA	0	0	0	0	0	0	0	0
E430016F16Rik|-|-|7|7 D2|ncRNA	0	0	0	0	0	0	0	0
Ostf1|C78236|SH3P2|Sh3d3|-|19 B|19 13.17 cM|protein-coding	118	80	78	75	111	106	96	92
Kat6b|AI507552|B130044K16Rik|MYST-4|Morf|Myst4|mKIAA0383|qkf|querkopf|-|14|14 A3|protein-coding	4	5	1	4	2	1	0	5
4933402J15Rik|-|-|14|14 D3|ncRNA	0	0	0	0	0	0	0	0
Dnmt3aos|ENSMUSG00000073242|Gm10485|-|12 A1.1|12|ncRNA	0	0	0	0	0	0	0	0
Vezt|A630071D13Rik|AI848282|-|10|10 C2|protein-coding	10	4	14	6	13	12	6	9
Acacb|AI597064|AW743042|Acc2|Accb|-|5|5 F|protein-coding	63	20	31	27	35	37	25	29
3110045C21Rik|AI838577|-|1|1 H3|ncRNA	0	0	2	5	5	1	6	4
Prr14l|6030436E02Rik|C330019G07Rik|Prl14l|-|5|5 B1|protein-coding	5	5	3	5	3	5	0	3
Fam159a|OTTMUSG00000008243|-|4 C7|4|protein-coding	0	0	0	0	0	0	0	0
Tcirg1|ATP6N1C|ATP6a3|Atp6i|OC-116|OPTB1|Stv1|TIRC7|Vph1|oc|-|19 A|19 3.62 cM|protein-coding	25	18	10	12	18	14	14	19
Capns1|Capa-4|Capa4|Capn4|D7Ertd146e|-|7 B1|7 17.31 cM|protein-coding	436	260	337	327	325	388	295	331
Olfr328|MOR275-2|-|11|11 B1.3|protein-coding	0	0	0	0	0	0	0	0
Tmem151b|Gm323|-|17|17 B3|protein-coding	0	0	0	0	0	0	3	0
Tada3|1110004B19Rik|ADA3|AI987856|Tada3l|-|6|6 E3|protein-coding	44	26	24	31	48	32	23	29
Epb41l5|1700030C16Rik|AL022914|BE37|E230025E14Rik|Epb4.1l5|Lulu1|NBL5|-|1|1 E2.3|protein-coding	20	13	11	16	9	16	11	16
Tmem232|E130009J12Rik|Gm940|Tes13-L|Tes13-S|-|17|17 E1.1|protein-coding	0	0	3	2	2	0	1	1
Ntn3|Ntn2l|-|17|17 A3.3|protein-coding	1	2	3	1	1	3	0	1
Unc5a|Unc5h1|mKIAA1976|-|13|13 B1|protein-coding	2	1	1	1	1	0	0	1
Drd2|D2R|Drd-2|-|9 A5.3|9 26.72 cM|protein-coding	0	0	0	0	0	0	0	0
Vmn1r103|EG667129|Gm8474|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Crip3|TLP|TLP-A|TLP-B|Tlmp|-|17|17 C|protein-coding	0	1	0	0	0	1	0	0
Tmprss15|Entk|Prss7|-|16|16 C3.1-C3.2|protein-coding	0	0	0	0	0	0	0	0
Smad3|AU022421|Madh3|-|9|9 C|protein-coding	32	25	11	22	7	31	20	18
Aimp2|AA407136|AA407225|Aimp2(p38)|Jtv1|-|5|5 G2|protein-coding	112	77	95	73	111	127	75	124
5430403N17Rik|5430403N17|-|8|8 A4|ncRNA	1	0	0	0	1	0	0	0
Pard6b|AV025615|Par6b|-|2|2 H3|protein-coding	17	6	3	10	13	15	6	7
Hamp2|1810073K19Rik|HEPC2|-|7 B1|7 19.27 cM|protein-coding	0	0	0	0	0	0	0	0
Vmn1r218|V1ri5|-|13|13 A3.1|protein-coding	0	0	0	0	0	0	0	0
Ormdl1|C730042F17Rik|-|1|1 C1.1|protein-coding	37	19	36	30	42	40	35	38
Ctf1|CT-1|-|7|7 F3|protein-coding	14	11	16	10	6	7	6	9
Frrs1|AI131732|Sdfr2|-|3|3 G1|protein-coding	32	30	21	21	23	30	26	30
Ip6k2|1500005N04Rik|AW050208|Ihpk2|-|9|9 F2|protein-coding	1	3	3	2	3	3	0	0
Mrps23|D11Bwg1153e|MRP-S23|Rpms23|S23mt|-|11 C|11 52.4 cM|protein-coding	119	77	89	81	108	119	72	100
Nsmf|Jacob|Nelf|-|2|2 A3|protein-coding	67	38	41	45	51	52	52	46
Mir129-2|Mirn129-2|mir-129-2|-|2|2 E1|ncRNA	0	0	0	0	0	0	0	0
Gm14379|OTTMUSG00000016482|-|X|X A1.1|ncRNA	0	2	0	0	0	1	0	0
Vmn2r110|EG224582|-|17|17 A3.2|protein-coding	0	0	0	0	0	0	0	0
Mir7004|mmu-mir-7004|-|2|2 H3|ncRNA	0	0	0	0	0	0	0	0
Ndufaf2|1810058I14Rik|C86051|Ndufa12l|mimitin|-|13|13 D2.1|protein-coding	80	33	48	35	58	76	50	58
Scn4b|Gm1471|-|9|9 A5.2|protein-coding	0	0	0	0	0	0	0	0
Pafah2|2310074E22Rik|AI507170|-|4|4 D3|protein-coding	88	40	56	55	62	74	66	59
Ergic1|1200007D18Rik|maa-136|-|17|17 A3.3|protein-coding	238	139	165	178	152	222	146	200
Boll|4930554P13Rik|4930597B14Rik|-|1|1 C1.2|protein-coding	0	0	0	0	0	0	0	0
Gm29508|-|-|12 E|12|ncRNA	0	0	0	0	0	0	0	0
Mir744|Mirn744|mir-744|mmu-mir-744|-|11 B3|11|ncRNA	0	0	0	0	0	0	0	0
Bmp8a|Bmp7r1|OP-2|OP2|-|4 D2.2|4 57.42 cM|protein-coding	0	1	0	0	0	0	0	0
Igf2bp3|2610101N11Rik|AA522010|AL022933|AU045931|IMP-3|IMP3|Koc13|Neilsen|mimp3|-|6 B2.3|6 23.82 cM|protein-coding	0	0	0	0	0	0	0	0
Ubtf|A930005G04Rik|NOR-90|Tcfubf|UBF|UBF-1|UBF1|-|11|11 D|protein-coding	53	36	67	44	53	62	54	58
Gm11190|OTTMUSG00000000071|-|11 B5|11|ncRNA	0	0	0	0	0	0	0	0
Lenep|AU018355|Lep503|-|3 F1|3 39.1 cM|protein-coding	6	3	5	6	5	5	4	6
Gm20611|4930565A17|-|10|10 B4|ncRNA	0	0	0	0	0	0	0	0
Dnah11|Dnahc11|b2b1203Clo|b2b1279Clo|b2b1289Clo|b2b1727Clo|b2b598Clo|iv|lrd|-|12 F2|12 63.25 cM|protein-coding	3	2	5	1	3	8	3	6
4933417E11Rik|-|-|1|1 C3|ncRNA	0	0	0	0	0	0	0	0
Pex11b|PEX11beta|Pex11pbeta|-|3|3 F2.1|protein-coding	60	50	61	39	74	60	41	61
Pdha1|Pdha-1|-|X F4|X 73.95 cM|protein-coding	196	126	195	195	210	185	161	213
Fgf8|Aigf|Fgf-8|-|19 C3|19 38.75 cM|protein-coding	0	0	0	0	0	0	0	0
Gm14440|OTTMUSG00000016618|-|2|2 H4|protein-coding	1	1	2	1	1	0	1	0
Nox4|AI648021|-|7|7 D3|protein-coding	0	0	1	1	1	0	0	0
Coro2a|9030208C03Rik|AI563590|IR10|-|4|4 B1|protein-coding	1	0	0	0	1	0	1	0
Eomes|C77258|TBR-2|Tbr2|-|9 70.21 cM|9 F3|protein-coding	0	0	0	0	0	0	0	0
Zmym5|9830124H08Rik|-|14|14 C3|protein-coding	17	9	9	8	15	11	3	9
Ift122|C86139|Wdr10|sopb|-|6|6 E3|protein-coding	40	22	34	41	31	30	29	42
Shisa6|Gm879|ckamp52|-|11|11 B3|protein-coding	3	1	2	0	0	3	1	2
Tet3|B430006D22Rik|BC037432|D230004J03Rik|-|6|6 C3|protein-coding	1	0	2	1	3	0	0	1
Hoxb8|Hox-2.4|-|11 D|11 59.82 cM|protein-coding	0	0	0	0	0	0	0	0
Gabrr1|GABA-C|-|4 A5|4 14.68 cM|protein-coding	0	0	0	0	0	0	0	0
Zfp951|C230055K05Rik|-|5|5 E5|protein-coding	0	0	1	0	0	1	0	0
Mir7670|Gm27707|mmu-mir-7670|-|6|6 B1|ncRNA	0	0	0	0	1	0	0	0
C2cd5|5730419I09Rik|C030008B15Rik|CDP138|-|6|6 G3|protein-coding	8	4	3	6	3	13	7	9
Rhob|AA017882|Arh6|Arhb|-|12|12 A1.1|protein-coding	25	22	17	22	20	23	8	18
Ccdc158|4932413O14Rik|-|5|5 E2|protein-coding	0	0	0	1	1	0	1	0
Upf2|-|-|2|2 A1|protein-coding	13	4	3	5	8	5	2	5
Gm4297|-|-|X A2|X|protein-coding	0	0	0	0	0	0	0	0
Nktr|5330401F18Rik|D9Wsu172e|-|9 F4|9 72.57 cM|protein-coding	11	9	10	6	12	10	3	5
Gm5801|EG545056|-|14 C3|14|pseudo	34	28	23	24	34	43	24	33
Mylk3|D830007F02Rik|MLCK|-|8|8 C3|protein-coding	1	0	0	0	0	0	0	0
BC048507|-|-|13|13 B3|protein-coding	24	29	27	30	27	20	24	27
Fbxo21|2810425J22Rik|AU016673|-|5|5 F|protein-coding	23	15	26	19	22	17	17	15
Ntn1|AI561871|BC019633|Netrin-1|-|11|11 B3|protein-coding	3	5	4	2	3	4	5	4
Kbtbd13|5430433E21Rik|-|9|9 C|protein-coding	0	0	0	0	0	0	0	0
Rpl18|L18|Rpl18a|-|7|7 B3|protein-coding	35	23	26	13	29	30	38	17
Gm732|-|-|X|X D|protein-coding	0	0	0	0	0	0	0	0
Ppp2r5e|4633401M22Rik|AI449017|B56beta|-|12|12 C3|protein-coding	33	28	36	31	35	31	25	24
St3gal3|ST3GalIII|ST3N|Siat3|Siat6|-|4|4 D2.1|protein-coding	43	21	35	30	35	31	26	30
Camk2g|Camkg|-|14|14 A3|protein-coding	37	15	24	16	30	33	25	30
C1qb|-|-|4 D3|4 69.05 cM|protein-coding	104	81	33	44	87	72	31	39
Mir1932|mir-1932|mmu-mir-1932|-|11 E2|11 83.47 cM|ncRNA	0	0	0	0	0	0	0	0
Fras1|E130113P14Rik|bl|mKIAA1500|-|5|5 E3|protein-coding	9	8	5	8	4	5	6	6
Ccdc54|1700007N18Rik|AI644412|BB013989|NYD-SP17|-|16|16 B5|protein-coding	0	0	0	0	0	0	0	0
Rcn3|6030455P07Rik|D530026G20Rik|D7Ertd671e|RLP49|-|7 B3|7 29.11 cM|protein-coding	63	44	58	49	36	34	37	49
Glrx5|-|-|12|12 E|protein-coding	42	26	32	29	35	35	24	33
Ctxn3|ENSMUSG00000069372|-|18 D3|18|protein-coding	5	4	5	4	5	12	6	9
Tnp2|TP2|Tp-2|-|16 A1|16 5.83 cM|protein-coding	0	0	0	0	0	0	0	0
Clic3|2300003G24Rik|-|2|2 A3|protein-coding	12	6	15	10	10	5	10	9
Ank3|2900054D09Rik|AI314020|Ank-3|AnkG|Ankyrin-3|Ankyrin-G|-|10 B5.3|10 36.1 cM|protein-coding	5	4	5	6	8	6	7	3
Ep400|1700020J09Rik|AU023439|mDomino|mKIAA1498|p400|-|5|5 F|protein-coding	17	12	7	10	12	15	7	4
Mir23a|Mirn23a|mir-23a|mmu-mir-23a|-|8|8 C2|ncRNA	0	0	0	0	0	0	0	0
Cox6a1|VIaL|-|5 F|5 56.06 cM|protein-coding	2540	1688	2420	2031	2250	2693	2218	2304
Gprc5a|Rai3|Raig1|-|6|6 G1|protein-coding	1	1	0	1	1	5	2	0
Crbn|2610203G15Rik|2900045O07Rik|AF229032|AW108261|piL|-|6|6 E1|protein-coding	19	21	36	30	30	24	27	33
1700003G13Rik|-|-|9|9 A5.2|ncRNA	0	0	0	0	0	0	0	0
C030018K13Rik|-|-|5|5 C3.1|ncRNA	0	0	0	0	0	0	0	0
Sidt1|AW045928|B830021E24Rik|-|16|16 B4|protein-coding	0	0	0	0	0	0	0	0
Aanat|AA-NAT|Nat-2|Nat4|Snat|-|11 81.43 cM|11 E2|protein-coding	0	0	0	0	0	0	0	0
Prr33|ENSMUSG00000043795|Gm14492|OTTMUSG00000016823|-|7 F5|7|ncRNA	0	0	0	0	0	0	0	0
Gm20858|-|-|Y|Y A2|pseudo	0	0	0	0	0	0	0	0
Rap1gds1|BC011279|GDS1|-|3|3 H1|protein-coding	83	56	60	68	60	66	43	56
Stt3b|1300006C19Rik|Simp|-|9|9 F3|protein-coding	83	38	55	57	64	51	35	63
A930002C04Rik|-|-|13|13 A5|ncRNA	0	0	0	0	0	0	0	1
1700010K23Rik|-|-|16|16 C1.3|ncRNA	0	0	0	0	1	0	0	0
Col28a1|Col28|Gm466|-|6|6 A1|protein-coding	0	0	0	0	0	0	0	0
Krr1|2610511F02Rik|AI255219|AI428520|D10Ertd773e|Hrb2|-|10 D2|10 59.97 cM|protein-coding	19	14	15	20	13	16	12	17
Mir16-1|Mirn16|Mirn16-1|miR-16|mir-16-1|-|14|14 D1|ncRNA	0	0	0	0	0	0	0	0
Gm12866|OTTMUSG00000008833|-|4 D2.1|4|ncRNA	0	0	0	0	0	0	0	0
Vdac3|-|-|8 A2|8 11.42 cM|protein-coding	127	78	112	98	130	125	90	81
Pcdh11x|PCDHX|PCDHX11|Pcdh11|-|X|X E2|protein-coding	0	0	0	0	0	0	0	0
Mir26a-1|Mirn26a|Mirn26a-1|miR-26a|mir-26a-1|-|9|9 F3|ncRNA	0	0	0	0	0	0	0	0
Acap2|4832442G16|9530039J15Rik|CNT-B2|Centb2|mKIAA0041|-|16|16 B2|protein-coding	18	7	6	5	4	7	4	3
Spc25|2600017H08Rik|2610205L13Rik|Spbc25|-|2|2 C2|protein-coding	20	9	19	15	10	23	10	17
Mir1b|Mir1-2-as|Mir1-2as|Mirn1-2as|mir-1b|mmu-mir-1-2-as|mmu-mir-1b|-|18 A1|18 5.4 cM|ncRNA	0	0	0	0	0	0	0	0
Bbs9|E130103I17Rik|-|9|9 A3|protein-coding	13	11	21	17	14	15	10	14
Efcab14|4732418C07Rik|-|4|4 D1|protein-coding	65	34	38	51	29	47	34	41
Akr1c6|3alpha-HSD|Akr1c1|Hsd17b5|-|13 A1|13 2.48 cM|protein-coding	0	0	0	0	0	0	0	0
Ldoc1|Gm366|Mar7|Mart7|Sirh7|-|X|X A6|protein-coding	0	1	0	0	0	0	0	0
Ttll8|1700019P01Rik|4933401B17|-|15|15 E3|protein-coding	0	0	0	0	0	0	0	0
Pear1|3110045G13Rik|Jedi-1|Megf12|-|3|3 F1|protein-coding	8	2	4	2	4	1	1	3
Tinag|AI452335|TIN-ag|-|9|9 D|protein-coding	0	0	0	0	0	0	0	0
Rnf220|4732477A13|4931406I20Rik|5730503K05Rik|AV302541|-|4|4 D1|protein-coding	35	31	22	33	26	38	36	27
Tomm20|1810060K07Rik|BB284719|Gm19268|MAS20|MOM19|TOM20|mKIAA0016|-|8|8 E2|protein-coding	75	44	73	71	85	98	80	86
Ppm1f|1110021B16Rik|4933427B07Rik|CaMKPase|Popx2|mKIAA0015|-|16|16 A3|protein-coding	145	101	118	116	136	141	120	129
Diablo|0610041G12Rik|1700006L01Rik|AU040403|Smac|-|5|5 F|protein-coding	71	49	62	62	76	80	55	81
Als2cr12|4933405P16Rik|4933425F06Rik|-|1|1 C1.3|protein-coding	0	0	0	0	0	0	1	0
Arhgdib|D4|Gdid4|Ly-GDI|-|6|6 G1|protein-coding	280	233	170	202	188	249	159	182
Tmem91|A830041P22Rik|DSPC3|-|7|7 A3|protein-coding	0	0	0	1	0	1	2	0
Cnst|9630058J23Rik|-|1|1 H4|protein-coding	43	18	19	19	44	38	33	22
Olfr655|MOR38-1|-|7|7 E3|protein-coding	0	0	0	0	0	0	0	0
Ms4a8a|2010004L09Rik|AI481240|CD20L5|Ms4a8|-|19|19 A|protein-coding	0	0	0	0	0	0	0	0
Clptm1l|C130052I12Rik|Crr9|-|13|13 C1|protein-coding	141	101	92	107	118	154	91	103
Narfl|9030612I22Rik|AI504405|PRN|-|17|17 A3.3|protein-coding	40	37	35	32	44	49	33	38
B3gnt9|3-Gn-T9|B3gnt9-ps|BGnT-9|C76565|C76566|beta-1|beta3Gn-T9|-|8|8 D3|protein-coding	5	1	0	4	0	2	0	1
Il15|AI503618|IL-15|-|8 C2|8 39.33 cM|protein-coding	7	6	6	4	4	9	11	6
Khk|-|-|5 B1|5 16.9 cM|protein-coding	28	14	14	14	13	36	13	15
Tex16|OTTMUSG00000018437|-|X|X E1|protein-coding	0	0	0	0	0	0	0	0
Gcnt1|5630400D21Rik|B130048E03|C2 GlcNAcT|C2GNT|IGnT|-|19 B|19 12.75 cM|protein-coding	2	0	2	0	1	2	4	1
Alas2|ALAS|ALAS-E|ALASE|Alas-2|-|X F3|X 68.46 cM|protein-coding	0	0	0	0	0	0	0	0
Xkr8|4931440N07Rik|AI597014|Gm1031|XRG8|mXkr8|-|4|4 D2.3|protein-coding	16	4	5	5	8	5	6	8
Uhrf1|AL022808|ICBP90|Np95|RNF106|-|17|17 D|protein-coding	5	3	1	4	2	3	2	7
Lrg1|1300008B03Rik|2310031E04Rik|Lrg|Lrhg|-|17 29.17 cM|17 D|protein-coding	1	2	4	1	1	0	1	1
Smim8|1810030N24Rik|2810406B13Rik|-|4|4 A5|protein-coding	87	67	67	80	70	86	73	86
Btbd35f4|Gm3750|-|X A1.1|X|protein-coding	0	0	0	0	0	0	0	0
Mrc2|Endo180|mKIAA0709|uPARAP|-|11|11 E1|protein-coding	12	12	9	11	7	7	11	16
Mdm1|Arrd2|Mdm-1|-|10 D2|10 66.65 cM|protein-coding	4	3	4	5	6	3	3	5
Tspyl5|6330530B20|E130308C19Rik|-|15|15 B3.1|protein-coding	3	0	0	0	0	0	1	1
Ebpl|5730442K12Rik|EBRP|-|14|14 D1|protein-coding	86	78	61	80	106	106	67	74
Evx1|Evx-1|-|6|6 B3|protein-coding	0	0	0	0	0	0	0	0
Akr1b8|FR-1|Fgfrp|Fgrp|-|6 B1|6 14.91 cM|protein-coding	15	15	8	11	13	17	11	16
Wdr91|9530020G05Rik|AI987683|AU018665|-|6|6 B1|protein-coding	16	8	10	7	17	16	7	12
Npdc1|AI314472|NPDC-1|-|2|2 A3|protein-coding	218	127	174	148	188	208	178	157
Foxj2|Fhx|-|6|6 F1-F2|protein-coding	7	8	8	5	4	4	4	5
Mir223|Mirn223|miR-223|mmu-mir-223|-|X|X C3|ncRNA	0	0	0	0	0	0	0	0
Tsku|9530051K01Rik|E2ig4|Lrrc54|Tsk|-|7|7 E1|protein-coding	12	3	3	5	4	5	2	6
1700063D05Rik|-|-|9|9 A5.1|ncRNA	0	0	0	0	0	0	0	0
Olfr1089|MOR193-1|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Rad23a|2310040P19Rik|AL024030|HR23A|mHR23A|-|8|8 C2|protein-coding	163	99	137	138	176	209	120	127
Adra2c|Adra-2c|[a]2C|alpha2-C4|alpha2C|-|5 B2|5 18.09 cM|protein-coding	0	1	0	0	0	0	0	0
Cdc42ep1|1810058K22Rik|AA980734|Borg5|CEP1|MSE55|-|15|15 E1|protein-coding	83	66	59	52	78	91	47	73
Pex2|D3Ertd138e|PAF-1|PMP35|Pxmp3|-|3 A1|3 1.96 cM|protein-coding	84	57	66	59	62	76	59	62
Pde1a|AI987702|AW125737|-|2|2 C3|protein-coding	3	5	3	3	4	1	2	5
Ptgds|21kDa|L-PGDS|PGD2|PGDS|PGDS2|Ptgs3|-|2 A3|2 17.28 cM|protein-coding	301	223	307	290	313	358	290	315
Tomm6|1110002E23Rik|AI663970|-|17|17 C|protein-coding	1104	794	862	850	834	1023	816	718
Xkrx|A630026F04|-|X|X E3|protein-coding	1	0	0	0	0	2	1	1
Bmp6|D13Wsu115e|Vgr1|-|13 A3.3|13 18.15 cM|protein-coding	80	45	69	72	49	69	58	75
Ddi2|1110056G13Rik|1700027M01Rik|9130022E05Rik|AI604911|AU040698|-|4|4 E1|protein-coding	7	6	2	5	5	9	5	5
E230029C05Rik|AI452102|B230337J15|-|7|7 D3|ncRNA	1	4	2	2	0	4	0	0
Gstm5|-|-|3|3 F2.3|protein-coding	200	137	177	150	182	219	171	160
Btg1-ps2|4930430D24Rik|-|X|X A3.3|protein-coding	0	0	0	0	0	0	0	0
Pabpc4|-|-|4|4 D2.2|protein-coding	8	4	3	3	1	2	2	2
Olfr362|MOR158-1|-|2|2 B|protein-coding	0	0	0	0	0	0	0	0
Gpc1|AI462976|-|1|1 D|protein-coding	266	147	196	199	166	182	123	144
Oxr1|2210416C20Rik|C7|C7B|-|15|15 B3.1|protein-coding	35	22	20	20	22	40	20	19
Ache|-|-|5 G2|5 76.32 cM|protein-coding	4	0	1	1	1	2	1	1
Zik1|-|-|7|7 A1|protein-coding	0	1	1	1	5	6	1	2
Acbd5|1300014E15Rik|-|2|2 A3|protein-coding	34	17	40	43	27	34	28	32
1700057G04Rik|-|-|9|9 E3.3|protein-coding	0	0	0	0	0	0	0	0
Rnf17|MMIP-2|Mmip2|TDRD4|-|14|14 C3|protein-coding	0	1	0	0	0	0	0	0
Uox|AI663847|-|3 H2|3 72.09 cM|protein-coding	0	0	0	0	0	0	0	0
Aldh3a1|Ahd-4|Ahd4|Aldh|Aldh3|-|11 B2|11 37.96 cM|protein-coding	0	0	0	0	0	0	0	0
Tcf7l2|TCF4B|TCF4E|Tcf-4|Tcf4|-|19 D2|19 51.59 cM|protein-coding	4	5	2	5	3	5	1	4
Ei24|AA536736|AI115355|PIG8|-|9 A4|9 20.68 cM|protein-coding	50	36	33	32	38	46	23	53
Bcas2|6430539P16Rik|AI132645|C76366|C80030|-|3|3 F2.2|protein-coding	134	83	85	99	114	127	100	114
Gcfc2|A130099G21|AW146020|GCF2|Tcf9|-|6|6 C3|protein-coding	4	1	2	2	1	1	1	0
Golph3l|2010204I15Rik|AU015439|AW549227|C77637|Gpp34r|-|3|3 F2.1|protein-coding	20	19	16	22	17	18	15	15
Dbh|-|-|2 A3|2 19.29 cM|protein-coding	0	0	0	0	1	0	0	0
Tmem246|2810432L12Rik|9330170P15Rik|AI835809|-|4|4 B1|protein-coding	30	10	40	31	21	31	19	24
Adipor1|2810031L11Rik|ACDCR1|CGI-45|Paqr1|-|1|1 E4|protein-coding	202	115	146	161	155	178	169	172
Atxn7l3b|4921506J03Rik|6230409E21Rik|AI315132|ENSMUSG00000074747|-|10|10 D2|protein-coding	158	105	113	104	135	146	115	117
Cacna1s|AW493108|Cav1.1|Cchl1a3|fmd|mdg|sj|-|1 E4|1 59.55 cM|protein-coding	0	0	0	0	0	0	0	0
Vmn1r13|V1rc5|-|6|6 B3|protein-coding	0	0	0	0	0	0	0	0
Cops3|Csn3|Sgn3|-|11|11 B1.3|protein-coding	85	63	67	59	75	90	73	71
Mir8113|Gm27394|mmu-mir-8113|-|6|6 F2|ncRNA	0	0	0	0	0	0	0	0
Fbxo16|4932435C24Rik|Fbx16|-|14|14 D1|protein-coding	18	8	14	10	25	19	12	7
Tmed5|3110020O18Rik|4432412D15Rik|-|5|5 F|protein-coding	79	60	51	60	70	76	63	57
Mir6408|Gm27451|mmu-mir-6408|-|10|10 B4|ncRNA	0	0	0	0	0	0	0	0
Zfp14|4732429I09Rik|Krox-9|Zfp-14|mKIAA1559|-|7|7 B1|protein-coding	4	4	2	4	3	5	2	0
Nifk|AI852665|C130020J04Rik|Mki67ip|-|1|1 E2.3|protein-coding	35	37	44	33	44	40	29	30
4930583I09Rik|-|-|17|17 E1.1|protein-coding	0	0	0	0	0	0	0	0
Ifih1|9130009C22Rik|Helicard|Hlcd|MDA5|RLR-2|-|2|2 C1.3|protein-coding	52	15	6	6	31	27	11	20
Olfr809|MOR108-4|-|10|10 D3|protein-coding	0	0	0	0	0	0	0	0
Iqgap3|AI593484|D030034H08|-|3 F1|3 38.78 cM|protein-coding	1	2	2	0	2	4	1	1
Rab11fip4|A730072L08Rik|RAB11-FIP4|mKIAA1821|-|11 B5|11 46.88 cM|protein-coding	1	2	2	4	0	0	1	6
Ndufv1|CI-51kD|-|19 3.72 cM|19 A|protein-coding	162	88	99	104	125	113	116	131
Ripk2|2210420D18Rik|CARD3|CARDIAK|CCK|D4Bwg0615e|RICK|RIP2|-|4 A2|4 6.7 cM|protein-coding	18	11	5	10	18	20	4	8
C4bp-ps1|C4bpb|-|1 E4|1 56.89 cM|pseudo	0	0	0	0	0	0	0	0
Tuba3a|AI528779|M[a]3|Tuba3|-|6|6 F3|protein-coding	0	0	0	1	0	0	0	0
Retnlg|Fizz3|Relmg|Xcp1|-|16 B5|16 30.75 cM|protein-coding	0	0	0	0	0	0	0	0
Mrpl42|2700009F22Rik|2900055D03Rik|D10Ertd322e|HSPC204|L31mt|MRP-L31|PTD007|Rpml31|-|10 C2|10 49.39 cM|protein-coding	226	135	189	169	179	216	175	194
Srpr|1300011P19Rik|D11Mgi27|Srpra|-|9|9 A4|protein-coding	133	83	103	82	94	111	69	103
Tmem123|2310075C12Rik|-|9|9 A1|protein-coding	44	36	47	47	55	43	40	46
Prim2|AI323589|-|1 12.7 cM|1 B|protein-coding	5	4	13	8	9	3	8	4
Sdad1|4931421J16|AA591032|AW538460|-|5|5 E2|protein-coding	4	4	2	6	4	6	6	2
Mcmbp|1110007A13Rik|AU017382|BC025641|MCM-BP|-|7|7 F3|protein-coding	19	12	10	8	9	8	4	9
Nt5dc1|6030401B09Rik|AW987726|Nt5c2l1|-|10|10 B1|protein-coding	13	15	12	16	8	11	8	13
U2af1|2010107D16Rik|35kDa|-|17|17 B1|protein-coding	22	9	16	10	11	21	21	12
Lrrc14|E130306I01Rik|mKIAA0014|-|15|15 D3|protein-coding	51	19	27	26	48	54	36	36
Hectd3|1700064K09Rik|AI467540|AW743312|-|4|4 D1|protein-coding	22	19	24	27	33	26	23	23
Epn1|AA269831|Ibp1|-|7|7 A1|protein-coding	41	16	20	28	30	38	15	19
Pou4f1|Brn-3|Brn-3.0|Brn3|Brn3.0|Brn3a|E130119J07Rik|-|14|14 E2.3|protein-coding	0	0	0	0	0	1	0	0
